logFC	AveExpr	t	P.Value	adj.P.Val	B	ES_Het_82_d0_1	ES_Het_82_d0_2	ES_Het_374_d0_1	ES_Het_374_d0_2	ES_Het_82_d0_2.2	ES_WT_d0_1	ES_WT_d0_2
FOXD1	-3.2957054441397	10.4849406313604	-17.5075850578822	2.37806684616931e-07	0.00189338782095385	7.26821761079956	11.3004643588304	11.2139140312216	11.5325028634829	11.545701377911	11.5402711598413	7.85421665177748	8.40751397645801
DLX5	-3.10420601257481	7.13192603714613	-17.3808883907382	2.50813839833729e-07	0.00189338782095385	7.22957433394611	7.79423173841715	8.17996586778275	7.98162235705142	8.06397230559817	8.07441793484515	4.65798749108049	5.17128456524775
RAB7B	-2.66964522009659	8.55556522473224	-15.8427123397288	4.94014301665609e-07	0.00189338782095385	6.72100822655043	9.10452129528784	9.24794636435246	9.48816991606014	9.3937828695874	9.35718456422562	6.43601095850116	6.86134060511104
SPP1	-2.23188027717385	15.4791414301004	-15.4861294864463	5.83253617112764e-07	0.00189338782095385	6.591835955921	16.3193597819223	16.1245872337188	15.9896177032926	15.9433891772276	16.2071536503035	13.8899384276334	13.8799440366047
BMP6	-2.40688559106787	8.95312978012399	-15.3763552190037	6.14293003401752e-07	0.00189338782095385	6.55114452944133	9.84599252166924	9.68230133178969	9.47874329952612	9.46564620190883	9.73137353296591	7.11876975924124	7.34908181376692
SOX14	-2.14374681961877	5.56310966984655	-15.3179548506511	6.31563916217863e-07	0.00189338782095385	6.52931507056415	6.24617897957533	6.00832652509053	6.32881751968971	6.11390766453427	6.18081311694113	4.13815500730907	3.92556887578578
RRAD	-2.0967603730618	7.21562764025927	-15.2640426728488	6.47995783616626e-07	0.00189338782095385	6.50905035481497	7.7867219986017	7.85361073794035	7.74516414191484	7.9505787679093	7.73743451644703	5.57024048729635	5.86564283170535
DDIT3	-2.03156741705387	9.06306165134178	-15.123354915095	6.93198746060415e-07	0.00189338782095385	6.45565225421563	9.55040098150538	9.67191008014909	9.65522697993502	9.6563927685573	9.68361661378191	7.44612939199334	7.7777547434704
F2RL2	-2.1791271236876	7.28086678815002	-15.1113194321555	6.97228290756056e-07	0.00189338782095385	6.4510492499607	8.03374403302178	7.71559519906685	8.00961166909627	7.78089758019561	7.97752420749472	5.64764181439263	5.80105301378225
GADD45A	-1.99315081113611	12.3936725516945	-14.960038185033	7.50201391001051e-07	0.00189338782095385	6.39271580099409	12.950070667474	12.8358555130801	12.9868737368465	13.1131441847311	12.9297769579642	10.8635256328243	11.0764611689418
TLR4	-2.15852740792016	6.40314690245888	-14.602718731926	8.94363113829585e-07	0.00189338782095385	6.25135984632288	6.97328427610662	7.07056373300539	6.95340495849445	6.83230734797626	7.26978477945478	4.84897822805459	4.87370499412008
MVP	-2.49376665963594	9.90837878142924	-14.4688160537559	9.56253905398006e-07	0.00189338782095385	6.19705844431047	10.6246513369201	10.9201281401519	10.5393945653793	10.4653140778487	10.5549295863261	8.3093885697174	7.94484519366117
NDRG1	-2.07840402953073	12.1238679688938	-14.3954671757533	9.92198222695349e-07	0.00189338782095385	6.16699872179763	12.6552319673542	12.6693867606407	12.7877850464937	12.8526688327035	12.6234158508925	10.4688629331987	10.8097243909736
GATA3	-2.67375548420776	7.25990888050902	-14.3432648015729	1.01870936528763e-06	0.00189338782095385	6.14546807132652	8.37357829925936	8.04426136179075	7.77509192662967	7.81939041323276	8.10687309335791	5.27300219326301	5.42716487602965
GPR87	-2.78780037406712	8.08778861002714	-14.240273031159	1.07339370201558e-06	0.00189338782095385	6.10265178512435	9.0906976519468	9.05861337990396	8.51629970656805	8.72897820016397	9.02692607450595	5.97282915029648	6.22017610680478
KCNJ2	-3.03626200087058	9.18362572559229	-14.2056584597928	1.09251092077306e-06	0.00189338782095385	6.08816015836105	9.74176570795379	10.2981908859874	9.90567898206691	10.28774046376	10.0222697322942	6.76236960650389	7.26736470057986
LONRF2	-2.28119966561965	8.95843261998401	-14.1488387449427	1.124731132504e-06	0.00189338782095385	6.06426059392442	9.30225376086039	9.74822222145553	9.67342914287099	9.73306207533657	9.5940525645675	7.23351698338334	7.42449159141375
AREG	-1.99893848283493	7.61076917963189	-14.1285028206474	1.13652246516363e-06	0.00189338782095385	6.0556730102241	7.99119491945182	8.21716141038129	8.19539997186413	8.27669787268284	8.22901812782926	6.04424080980111	6.32167114541277
CDC42EP1	-1.70944027083148	14.2091830472652	-14.0503841300769	1.18313378236646e-06	0.00189338782095385	6.02251742909067	14.696379842081	14.7909406532755	14.6380261915428	14.6134338361623	14.7491922430236	12.9186877231301	13.057620841641
CHAC1	-2.49729390276749	12.5013473284405	-13.9020052131333	1.2777348163979e-06	0.00189338782095385	5.95880352365049	13.1347164552013	13.1585277407205	13.3513227762328	13.4182497404935	13.0114826477938	10.4855252850913	10.9496066535505
