logFC	AveExpr	t	P.Value	adj.P.Val	B	PP1_Het_82_d10_1	PP1_Het_82_d10_2	PP1_WT_d10_1	PP1_WT_d10_2
DLX6	-6.47090521476954	7.41744123291665	-32.498404062365	3.42368785445483e-07	0.00296243176093993	6.73596127859843	10.8702263347988	10.435561345804	4.0965952553168	4.26738199574696
ESRG	-7.82748853349502	9.04796449951484	-29.1876407704806	5.959860076012e-07	0.00296243176093993	6.43568407848077	12.6793498869835	13.2440676455412	4.89247333349784	5.37596713203681
GPR19	-4.16629925329751	8.74215531283929	-27.9913866743842	7.39488959201766e-07	0.00296243176093993	6.30933224727145	10.9121889162236	10.7384209627525	6.61850215329289	6.69950921908818
ZIC2	-5.69766059815951	6.08292210753452	-27.6692963877244	7.84939453299416e-07	0.00296243176093993	6.2734576513594	9.16692025140811	8.69658456182043	3.15430813177011	3.31387548513942
HOXB5	-4.16426041138089	8.90516596499767	-26.8077245349587	9.23893203977033e-07	0.00296243176093993	6.1733494136891	11.0335137415061	10.9410785998701	6.71269832998578	6.93337318862865
ANXA9	-3.67290837384168	8.49215487426692	-26.5758351839239	9.66178748459415e-07	0.00296243176093993	6.14533064996504	10.3579505186142	10.2992676037614	6.67606709577581	6.63533427891636
KCNJ12	-3.73395300789748	8.07418655410283	-25.7471774337991	1.13738141473222e-06	0.00296243176093993	6.0412592352362	10.0201697096361	9.86215640646702	6.21346563465473	6.20095446565345
ZIC5	-5.23869807019771	7.3511536590802	-25.4036397024773	1.21882132496016e-06	0.00296243176093993	5.99622754206437	10.1015922286558	9.83941315970232	4.94347337786321	4.52013587009947
lincRNA:chrX:113041085-113233760_R	-3.6974689406853	7.83976461901118	-25.3929305560047	1.22146976604755e-06	0.00296243176093993	5.99480534230825	9.72172159179494	9.65527658691272	5.91606920365509	6.06599109368197
PAX6	-3.55866936314842	5.87553819207867	-25.1627541356339	1.28008688956403e-06	0.00296243176093993	5.96396328931578	7.70080704717778	7.60893870012798	4.05746989778494	4.13493712322399
SFRP2	-4.25874940634132	6.86238021195076	-24.9400654988849	1.34001441243719e-06	0.00296243176093993	5.93361886691077	9.14131955899804	8.84219027124481	4.80353357002925	4.66247744753096
BCAT1	-3.94890586470477	8.62418049433658	-24.9163722674023	1.34658524187988e-06	0.00296243176093993	5.93036063133446	10.6025270894883	10.5947397638896	6.51989720175759	6.7795579222108
ATP6V1B1	-3.45231345720261	6.18414170793768	-24.6937892023708	1.41022646077233e-06	0.00296243176093993	5.89946855284585	7.93735555394529	7.88324131913268	4.41679580830532	4.49917415036744
LOC440132	-4.76454302879143	6.91682352324693	-24.5462834559958	1.45437935285998e-06	0.00296243176093993	5.87871108963727	9.14883968674889	9.4493503885364	4.69839003233544	4.37071398536699
LOC153469	-4.57448381444522	6.80172787567841	-24.3399861435578	1.51892568188984e-06	0.00296243176093993	5.84929196209965	9.01540235231043	9.16253721349161	4.31979466083132	4.70917727608028
GATA3	-3.77686863609233	8.15963872522182	-23.9640643715538	1.64554645194075e-06	0.00296243176093993	5.7944920859643	10.1036208277214	9.99252525881462	6.15690702706124	6.38550178729008
NNAT	3.3816068690334	14.0816274661185	23.9446825072216	1.65240897222592e-06	0.00296243176093993	5.79162420321164	12.355228769964	12.4264192932396	15.7255639731117	15.8192978281587
SPP1	-5.55478509918423	8.97312632224014	-23.6980137184286	1.74279602866919e-06	0.00296243176093993	5.75475384593128	11.4523322605019	12.0487054831626	6.26821623027251	6.12325131502354
TFAP2B	-3.71060213254596	6.77346015753456	-23.5377005123239	1.8047032620673e-06	0.00296243176093993	5.73041704052492	8.6161644823546	8.64135796526049	5.04474139370821	4.79157678881495
HOXD1	-3.57552279518517	6.73185994930027	-23.4095870574616	1.85606615944617e-06	0.00296243176093993	5.71075281098279	8.43837597344459	8.60086672034111	4.86904384897821	5.01915325443715
GLI1	-3.58736382400906	7.98551027675493	-23.2426421582809	1.92563535386745e-06	0.00296243176093993	5.68483671373132	9.89537293885856	9.66301143866035	6.1956542026614	6.18800252683939
PAMR1	-4.29674823616167	7.55614926657521	-22.8813534985714	2.08712300280038e-06	0.00296243176093993	5.62759745169158	9.84254943802359	9.56649733128848	5.2524930349964	5.56305726199235
LMO1	-3.1505280693728	7.80788074350149	-22.7982217796577	2.12653388661086e-06	0.00296243176093993	5.61419905568374	9.41440067531187	9.35188888106391	6.21560254655694	6.24963087107324
ZIC3	-4.05959325492706	7.30719021579221	-22.5089303701458	2.27076825307655e-06	0.00296243176093993	5.56689367421937	9.15129518830153	9.52267849820996	5.23746655378267	5.31732062287471
DLX5	-7.05967635679921	8.86414777217786	-22.4243089918797	2.31514201816623e-06	0.00296243176093993	5.55285354946982	12.4556064095357	12.3323654916192	4.88170650624684	5.78691268130968
C20orf103	-5.20911731395367	9.29424587387666	-22.3327107314436	2.36434373283108e-06	0.00296243176093993	5.53755086140884	12.0845037903926	11.7131052713144	6.4482475684712	6.93112686532844
IRX2	-3.53242383324482	11.0403059646937	-21.9238097107682	2.59976889678124e-06	0.00313676560557194	5.46788185953232	12.9333407135798	12.6796950490524	9.32859936449852	9.21958873164401
HOXB6	-4.35588898277353	8.4995745002238	-21.4796898692882	2.88784216606799e-06	0.0032618125090917	5.38962147012417	10.8680753984511	10.48696258477	6.17316031055272	6.47009970712135
CDH20	-2.94095105394474	4.73743853448861	-21.197649709925	3.09057734165965e-06	0.0032618125090917	5.33846783781177	6.24249188851698	6.17333623440498	3.28850029139766	3.24542572363483
FNDC5	-3.06407773230407	9.56788548512029	-21.1925000138858	3.09443380824381e-06	0.0032618125090917	5.33752307987076	11.1755778955767	11.0242708069679	8.02078105520368	8.05091218273283
lincRNA:chrX:121375860-121376469_F	-3.83329982304118	5.49416634482734	-21.1798739125241	3.10391342916299e-06	0.0032618125090917	5.33520505939483	7.27352003405158	7.54811247864427	3.71100116475084	3.44403170186265
FOXG1	-3.21612714852124	7.46409283396255	-20.9310422936746	3.29798742266537e-06	0.00335745425838031	5.28903989944789	8.98396694291071	9.16034587353563	5.92802894081918	5.78402957858468
lincRNA:chr13:54701000-54707001_R	-3.00601460816361	5.87025026314171	-20.5649535322485	3.61046751380098e-06	0.00356418788476044	5.21941583813613	7.37619438041797	7.37032075402906	4.28275090599532	4.45173501212448
CCL26	-4.36147420043427	7.2012565451233	-20.3407477127054	3.81927415171474e-06	0.00365942629530621	5.17574467694766	9.12489074360387	9.639096547077	5.09000359413653	4.95103529567578
SOX3	-4.16551104357978	10.6568800688968	-20.0721134726928	4.08870727444317e-06	0.00380565191084386	5.12235782945501	12.498031189094	12.9812399922793	8.50327989809725	8.64496919611654
CA4	-4.23637578517521	8.10041466547493	-19.8501785327533	4.32851069896069e-06	0.00387638116693313	5.07735685151511	10.427966380005	10.0092387361201	6.1434239834001	5.82102956237456
lincRNA:chr13:56235474-56268649_F	-4.55438977665492	6.1111732509601	-19.7844860989359	4.40267990227847e-06	0.00387638116693313	5.06387831761305	8.16107742220254	8.61565885637259	3.64045273261939	4.0275039926459
MYCN	-2.74249097954953	11.1911314582702	-19.3582886957298	4.92240655880189e-06	0.00412425278474687	4.97463211974472	12.6157549960493	12.5089989000406	9.7892251706929	9.85054676629796
PPP2R2B	-3.27394039576842	8.91299277811507	-19.3467945600507	4.93740548869226e-06	0.00412425278474687	4.97218126128122	10.6634197182849	10.4365062337137	7.1614869061012	7.39055825436053
GALNT14	-3.06889835542717	8.81606303171364	-19.1560919917417	5.19437960585767e-06	0.00420692498819011	4.93117382232393	10.2301350833096	10.4708893355448	7.2199714081205	7.34325629987961
