logFC	AveExpr	t	P.Value	adj.P.Val	B	PP1_Het_82_d10_1	PP1_Het_82_d10_2	PP1_WT_d10_1	PP1_WT_d10_2
ESRG	-7.69356710852721	9.03714980364995	-27.0228770551411	3.33369425110886e-08	0.000392791418931291	8.94522810656722	12.6028025879441	13.165064127883	4.94861213142048	5.43212036735221
DLX6	-6.36252597315307	7.41127757468889	-26.7077907541013	3.6095517269922e-08	0.000392791418931291	8.89561469125473	10.8087852838755	10.3762958386554	4.14255276208788	4.31747641413682
ZIC2	-5.63853814277884	6.08249849671976	-23.3994883155083	8.83581869461417e-08	0.000617658888145309	8.3012476295533	9.13060078304949	8.67293435316888	3.18238403585505	3.34407481480562
DLX5	-6.93455438057578	8.85477188597261	-21.7758392575733	1.43621496474626e-07	0.000617658888145309	7.95197524378034	12.382738554847	12.261359597674	4.93653847284964	5.8384509185198
ZIC5	-5.13053022824056	7.3521305491118	-21.1260378987262	1.7619127174027e-07	0.000617658888145309	7.79960386195081	10.046144546166	9.78864678029817	5.00003502327969	4.57369584670335
SPP1	-5.44402925310428	8.96283428411603	-20.8729817323381	1.91105759693763e-07	0.000617658888145309	7.7381555605242	11.3884018289746	11.9812959923617	6.31194956120858	6.16968975391919
LOC440132	-4.67532260648585	6.92220852404614	-19.890354602034	2.64462534298826e-07	0.000617658888145309	7.48762351762341	9.1128130545139	9.40692660006422	4.75084168985179	4.41825275175463
C20orf103	-5.10848280554387	9.27826532914577	-19.7398795038447	2.78333506387774e-07	0.000617658888145309	7.44750482212824	12.0172716348844	11.647741828951	6.48907192840168	6.95897592434598
GPR19	-4.06860771881559	8.72962307314603	-19.5116780810907	3.00988380381199e-07	0.000617658888145309	7.38573340708068	10.8504874625262	10.6773664025815	6.65579735114822	6.73484107632825
LOC153469	-4.48698277865489	6.8111588014327	-19.3821421314199	3.14783702814811e-07	0.000617658888145309	7.35016229399309	8.98337758997043	9.12592279154986	4.37136953235648	4.76396529185402
HOXB5	-4.07054352441936	8.88971091614425	-19.2293454379498	3.31995496373105e-07	0.000617658888145309	7.30772318519732	10.9708675368908	10.879097819817	6.74724414655928	6.96163416130987
SFRP2	-4.17312659517056	6.87393229225158	-18.9515261928894	3.66124474414448e-07	0.000617658888145309	7.22920090498375	9.10603418526902	8.8149569944047	4.85797353336011	4.71676445597248
BCAT1	-3.88712587092986	8.61473761893252	-18.2234244143832	4.76349504144733e-07	0.000617658888145309	7.01475502801073	10.5626111838699	10.553989924925	6.54495872869381	6.79739063824138
PAMR1	-4.19247795765726	7.56007993244076	-18.1853241148328	4.83089249826245e-07	0.000617658888145309	7.00317566885967	9.79170197982909	9.52093584270968	5.30966698286567	5.6180149243586
HAPLN1	-5.18720443235852	10.697663789408	-18.0260274942857	5.12474747461647e-07	0.000617658888145309	6.9543645385391	13.4673913400511	13.1151406711233	7.76874222220061	8.43938092425677
HOXB6	-4.2525963052942	8.49067521261085	-17.7308580479044	5.72498161302788e-07	0.000617658888145309	6.86219161624041	10.8062882371001	10.4276584934158	6.21874502707543	6.51000909285208
ANXA9	-3.57891899901028	8.48113781355905	-17.6333402856752	5.94066932364283e-07	0.000617658888145309	6.83123651551922	10.2996879260744	10.241506700054	6.71145955940967	6.67189706869816
KCNJ12	-3.63619504987119	8.07044263000049	-17.6166859377341	5.97842669208314e-07	0.000617658888145309	6.82592457005815	9.96610582194604	9.81097448792612	6.25854533920803	6.24614487092175
ZIC3	-3.9655180008128	7.31606355459296	-17.5617554062256	6.10491978058676e-07	0.000617658888145309	6.80835159967994	9.11681020557984	9.48083490441888	5.29354848586641	5.37306062250671
lincRNA:chrX:113041085-113233760_R	-3.60084952411588	7.83981286817899	-17.4159316739478	6.45583677048725e-07	0.000617658888145309	6.7613050020442	9.6729948899661	9.60748037050776	5.96538994430278	6.11338626793931
lincRNA:chr13:56235474-56268649_F	-4.4980776246099	6.12328788914793	-17.3961390024539	6.50522176824789e-07	0.000617658888145309	6.75487469515386	8.15072589104125	8.59392751186451	3.67464854618037	4.07384960750559
CCL26	-4.26464712131141	7.20855204513537	-17.3126177618913	6.7184299606557e-07	0.000617658888145309	6.72762140110401	9.08978619453804	9.59196501704411	5.14541724453546	5.00703972442387
GATA3	-3.67863956523695	8.15436047868381	-17.2641581116692	6.84579329669081e-07	0.000617658888145309	6.71172041069921	10.0482997119606	9.939060810644	6.20261738196368	6.427464010167
MIR205HG	-4.62035111459458	10.4085639355452	-17.2304755106973	6.93594569122747e-07	0.000617658888145309	6.70062970783061	12.9203081342566	12.5171708514283	7.84232715762478	8.35444959887096
PAX6	-3.51209539999064	5.8971891763843	-17.1518923506655	7.15160322633529e-07	0.000617658888145309	6.67463112599974	7.69853379735067	7.60793995540856	4.09996361168675	4.18231934109121
TFAP2B	-3.63415324086147	6.78962537683036	-17.0189619288657	7.53410006584407e-07	0.000617658888145309	6.63025529877658	8.59432750044726	8.61907649407493	5.09956833702465	4.84552917577461
SOX3	-4.10989860604321	10.6084683517968	-16.934900154371	7.78804407493093e-07	0.000617658888145309	6.60193287223371	12.42474733262	12.9020879770168	8.48438369276788	8.62265440478249
lincRNA:chrX:121375860-121376469_F	-3.81293223891789	5.51820060384845	-16.8285754817399	8.12338012174705e-07	0.000617658888145309	6.56581722635664	7.29241094877893	7.55692249783586	3.74741424292651	3.47605472585251
CA4	-4.13100676223811	8.09654979119616	-16.7617136656274	8.34270291358353e-07	0.000617658888145309	6.54293724977318	10.3688291603845	9.95527718424596	6.19005627900093	5.87203654115327
ATP6V1B1	-3.39785981167627	6.20801373961532	-16.6644238944999	8.67403862798479e-07	0.000617658888145309	6.50940973511232	7.9334481892725	7.88043910163442	4.46623066396354	4.55193700359084
HOXD1	-3.50130405679408	6.74970166228857	-16.6291825309538	8.79775111767349e-07	0.000617658888145309	6.49719575060146	8.42109340507325	8.57961397629796	4.92368251576996	5.0744167520131
GLI1	-3.49234217088124	7.98324335679268	-16.5283361495766	9.16306050964374e-07	0.000623202652912145	6.46203896740952	9.84350090062718	9.61532798383943	6.24120878871823	6.23293575398588
NNAT	3.35827528629429	13.9981986502973	16.4181221710017	9.5822841761379e-07	0.000631966160028683	6.42326520061297	12.2839820961614	12.3541399181389	15.6302969567158	15.7243756301731
IRX2	-3.49495204919051	10.983981801554	-16.2452312422691	1.02848719459347e-06	0.0006583528030333	6.36169155822892	12.8572455579542	12.6056700943444	9.28952449007684	9.18348706384074
PCDH8	-3.83576537280833	6.44792128558821	-15.5823951421242	1.35824486821471e-06	0.000815263460159269	6.1168311546236	8.6256953718729	8.10591257211185	4.53087475034562	4.52920244802247
lincRNA:chr13:54698462-54707001_R	-3.9015014120732	5.57558585075756	-15.5111000788996	1.40042365943019e-06	0.000815263460159269	6.08963339724753	7.38733168160069	7.66534143198762	3.38534577966682	3.8643245097751
LOC100131138	-3.74480800279536	9.81680576051843	-15.498121452127	1.40826192975555e-06	0.000815263460159269	6.0846637877663	11.4653595387225	11.9130599851097	8.04381273343494	7.84499078480656
IFITM1	-4.19577653309473	9.1650535036938	-15.4732029019665	1.42345209915697e-06	0.000815263460159269	6.07510625377249	10.9288414317304	11.5970421087519	7.05576633895302	7.07856413533985
LMO1	-3.06398197154921	7.80946455392683	-15.0979352098298	1.67644141470443e-06	0.000935540280759674	5.92857927282628	9.3720549544651	9.31085612493777	6.26105073881659	6.29389639748786
