logFC	AveExpr	t	P.Value	adj.P.Val	B	ES_Het_82_d0_1	ES_Het_374_d0_1	ES_Het_374_d0_2	ES_Het_82_d0_2.2	ES_WT_d0_1	ES_WT_d0_2
FOXD1	-3.29402975807964	10.3177012647234	-14.3012562161103	4.35198429491952e-07	0.00625514927725857	6.51366534531071	11.2375892336446	11.4680970940637	11.4811894132517	11.475968995373	7.85242288391988	8.39093996808736
DLX5	-3.00531112524478	6.97148289087466	-13.1024923771749	8.68588239970606e-07	0.00625514927725857	6.0036565156425	7.79423136545153	7.97619469780005	8.0561852155516	8.06640178502184	4.70819200527722	5.22769227614573
HIST1H1A	3.17301434595225	10.2964605956912	12.1160851807181	1.60445390438727e-06	0.00625514927725857	5.52745007396432	8.99200206288104	9.50530829849398	9.49537993006367	8.96246629672299	12.6157230654089	12.2078839205764
KCNJ2	-2.89536321912859	8.97097768399451	-11.7267870609792	2.06996348434184e-06	0.00625514927725857	5.32365601496793	9.69262822273669	9.85364978294509	10.2301283446435	9.96798867782422	6.79542465242069	7.28604642339689
RAB7B	-2.61116887579246	8.42501000023943	-11.5856354742901	2.27454642994835e-06	0.00625514927725857	5.24738185426028	9.06964364765757	9.44400889092531	9.35198600443829	9.31595995899315	6.47683108688678	6.89163041253546
MVP	-2.36841301769516	9.69660551924494	-11.4416004876046	2.50683955881418e-06	0.00625514927725857	5.16819899580386	10.5645159893981	10.4793395258119	10.4057264921515	10.4947240932118	8.29519689361636	7.94013012127999
GPR87	-2.67005527597872	7.92330109272675	-11.1568212343493	3.0481880733646e-06	0.00625514927725857	5.007513374079	9.05690596094455	8.49714664083151	8.70461983039948	8.99460564003643	6.02161932842316	6.26490915572539
BNC1	-2.6159757465275	7.39046022155834	-11.033305107406	3.32255956565556e-06	0.00625514927725857	4.93606780418463	8.30282727671339	8.23639663940548	8.18525434160505	8.3253302905461	5.32261681929644	5.97033596178357
GATA3	-2.6070102249713	7.14381335684346	-10.9060753458921	3.63429047563854e-06	0.00625514927725857	4.86133618808828	8.35822595889784	7.77631790835496	7.81874389277915	8.09797930063696	5.32847051996198	5.48314256042988
SOX14	-2.18699985727851	5.5334255768963	-10.8882906755018	3.68040632669613e-06	0.00625514927725857	4.85079668804185	6.2901977586853	6.37194569964324	6.16078748688485	6.22677117207649	4.18495164753378	3.96589969655415
PLAU	-2.56139407773259	14.4216579895578	-10.7973560015567	3.92662862642901e-06	0.00625514927725857	4.79654567554364	15.1951769481123	15.265092707346	15.3504815968437	15.2910728095726	12.3898539255344	13.0382699499376
F2RL2	-2.16902468296692	7.22309658502285	-10.7893337178257	3.94921668962891e-06	0.00625514927725857	4.79173043293046	8.02691189469322	8.00350892847512	7.78152812579406	7.97247030175154	5.70115770384652	5.85300255557661
BMP6	-2.33015713870562	8.80694854066711	-10.6830550301412	4.26253856245037e-06	0.00625514927725857	4.72748697144231	9.7951024699452	9.43490187148996	9.42223882307652	9.68242718309759	7.14211365029827	7.36490724609514
CHAC1	-2.48635777790642	12.3227101432465	-10.6023542352591	4.5189772565947e-06	0.00625514927725857	4.67813862064591	13.0567087425104	13.2734969583888	13.3401410205937	12.9356375553683	10.4386558992723	10.8916206833455
GREM1	-2.59440796960527	10.3063641118614	-10.5725060325114	4.61814141144681e-06	0.00625514927725857	4.65976134403956	11.3931212956168	11.031688411832	10.9866646104125	11.2731927557245	8.30053253131432	8.85298506626802
SPP1	-2.21397590616605	15.2798123941558	-10.4865356920193	4.91757018652403e-06	0.00625514927725857	4.60644872834372	16.2213969647588	15.8930638879115	15.847100989528	16.109655609313	13.8088031856896	13.7988537277339
