logFC	AveExpr	t	P.Value	adj.P.Val	B	BC_Hom_120_d25_1	BC_Hom_120_d25_2	BC_WT_d25_1	BC_WT_d25_2	BC_WT_d25_3
CSAG1	7.54530233555428	11.4207309117227	20.1327279828946	1.66898626369153e-12	1.91061474581706e-08	17.724227591386	7.0514116178631	6.73568740291711	14.3735801534033	14.4141944910117	14.5287808934181
CSAG2	7.48823003158606	10.7540166375233	20.0275225675791	1.80459480124397e-12	1.91061474581706e-08	17.6657498235512	6.25284903667162	6.26930820047176	13.5725697454228	13.7953721084631	13.8799840965874
GOPC	-7.23223512894947	8.08088026512526	-19.2074829676467	3.36239572251225e-12	1.94575354771521e-08	17.1938012939946	12.3103984271695	12.5300442578203	5.39308190817278	5.08324795340278	5.08762877906085
GCG	-7.23479374093124	9.57902175538014	-19.0927120111695	3.67556750453876e-12	1.94575354771521e-08	17.1253918516549	13.910286097111	13.9295099027667	6.52569232178894	6.56170997675044	6.96791047848355
CAT	-6.68554603261381	7.07793862427467	-17.73016201418	1.10049925076125e-11	4.66061432697387e-08	16.2656921744959	10.9790823067127	11.1994501809732	4.2319017137359	4.37516362795763	4.6040952919939
ENST00000361201	6.6131815532962	11.0915915563836	17.1040862940668	1.8695968966946e-11	6.59811904791803e-08	15.839200362939	6.78511226614531	7.46225298266653	13.7436887188616	13.7551810703333	13.7117227439115
ZNF502	6.26772345704566	8.40494245866214	16.3924440682918	3.48989435216785e-11	1.05569304153078e-07	15.3281557903465	4.93414875466881	4.35446801420067	10.9029980891767	10.9388745564557	10.8942228788088
CRYZ	-5.98816785015707	6.44831243938031	-15.903306528659	5.43657152026843e-11	1.31757376175898e-07	14.9596802397027	10.0569292868669	10.0254970120822	4.27848161628696	3.86767821197724	4.01297606968825
QPCT	6.93032944710925	9.75451354327753	15.8710791570633	5.6000773817383e-11	1.31757376175898e-07	14.9348896256599	5.45598259750512	5.73664915251884	13.1633432809697	11.7922294533284	12.6243632320656
XAGE1A	7.43464189815816	9.1067985139295	15.6931463711065	6.60187616506952e-11	1.39794727795347e-07	14.7968470115448	4.64582483594974	4.64620191411946	12.6883185459697	11.0468552441017	12.5067920295068
MAGEA12	6.16906448434508	9.51630139511865	15.3507249637425	9.10465016160326e-11	1.75264515610863e-07	14.5255135767691	5.69475259610701	5.9349728129162	12.4248635872013	11.5061485472754	12.0207694320934
POTEB	5.66912353424336	11.5718046188561	15.220139073682	1.03092390773731e-10	1.81915114552813e-07	14.4200250455803	8.15418913907842	8.18647185754172	13.7524329982862	13.7854507229093	13.9804783764648
RPS4Y1	-5.95085000966578	6.76730871852678	-15.1052399631486	1.15092376283355e-10	1.87467774446157e-07	14.32627061218	10.3322922202384	10.3433452284141	4.58554714278143	4.65978621897708	3.91557278222291
