logFC	AveExpr	t	P.Value	adj.P.Val	B	PP2_Het_82_d14_1	PP2_Het_82_d14_2	PP2_Het_374_d14_1	PP2_Het_374_d14_2	PP2_WT_d14_1	PP2_WT_d14_2
TMEM229A	-4.89342052064912	11.1378443680316	-27.6305175480451	7.07271540939047e-09	0.000102819881604844	10.6302939311466	12.8200027735792	12.7184317472435	12.7615680886764	12.7759355568259	7.71878279782685	8.03234524403744
CXCL14	-6.40944802686822	13.9875554056559	-26.6246649816093	9.34089317327676e-09	0.000102819881604844	10.4328406088033	16.2670463282267	15.8717915854112	15.9721138027766	16.3852006087	9.443099670883	9.98608043793782
GSTA5	-4.00654021316509	11.7826091919692	-22.9198388634724	2.86790846144404e-08	0.000158888126721894	9.5837178155657	13.2045412427721	13.0665984112418	13.1635922413582	13.0377584900583	8.99406514460764	9.2290996217774
SLN	-6.08537935488331	9.3247807624856	-21.3344326205447	4.89782967580809e-08	0.000158888126721894	9.15050564054905	11.2854284708412	10.9671817781638	11.2649927579601	11.8953591828217	5.04012802883006	5.49559435629673
PRRT4	-4.71932601943009	9.18207814903565	-21.2084585890734	5.11901962520054e-08	0.000158888126721894	9.11399133272615	10.6693366016762	10.4258910662502	10.8307138716433	11.0948057491463	6.01622864832336	6.05549295717449
IHH	-4.55779465430569	12.671510214592	-20.8794724831669	5.75188792618575e-08	0.000158888126721894	9.01708960281897	14.1372253669884	14.2106980267578	14.4118728113823	14.0033041923137	9.37655640487319	9.88940448523657
C11orf96	-5.66438550223511	9.67736236371819	-20.1696732311655	7.44249608787922e-08	0.000158888126721894	8.80014143214515	11.3900277883169	11.2732470912023	11.4114688393257	12.1872197390079	5.84012304678182	5.96208767767443
KCNK12	-3.72497196775197	10.7862957796603	-20.1131288743401	7.59970545978979e-08	0.000158888126721894	8.78237984526531	12.2238161096543	11.9606794165719	11.9522491392602	11.9750677434908	8.17526380394768	8.43069846503697
PITX2	-3.86701461685092	13.9822494205525	-19.7617845799574	8.6649070506259e-08	0.000158888126721894	8.67037621257091	15.1332071248261	15.0943501207771	15.4995479498259	15.3579119759158	11.3195320844054	11.4889472675651
GDF6	-4.61808736820041	7.67084067683093	-19.3820305234782	1.00103269978131e-07	0.000158888126721894	8.54605812338002	9.08630431284731	9.0656257863131	9.00674119761717	9.68214123481335	4.51973744787397	4.66449408152068
DLX5	-6.69939662876736	9.38027324909831	-18.9802011375539	1.1697146398498e-07	0.000158888126721894	8.41069234052783	11.8693188904844	11.0107089746818	11.4278122072856	12.1457817622979	4.56135066711198	5.26666699272818
HTR1E	-3.53032325745867	8.37544573948522	-18.7814818586661	1.26484611624277e-07	0.000158888126721894	8.34225047906894	9.48209811171312	9.51428557465639	9.70695731862359	9.50553962955932	5.84585179396296	6.19794200839593
