DB 0 MOTIF	1	MEME
 -44.5	2
 -43.5	1
 -42.5	2
 -41.5	0
 -40.5	1
 -39.5	1
 -38.5	0
 -37.5	1
 -36.5	0
 -35.5	0
 -34.5	2
 -33.5	1
 -32.5	2
 -31.5	2
 -30.5	1
 -29.5	4
 -28.5	1
 -27.5	1
 -26.5	0
 -25.5	0
 -24.5	2
 -23.5	1
 -22.5	1
 -21.5	2
 -20.5	0
 -19.5	1
 -18.5	3
 -17.5	1
 -16.5	4
 -15.5	10
 -14.5	1
 -13.5	5
 -12.5	5
 -11.5	3
 -10.5	5
  -9.5	7
  -8.5	6
  -7.5	5.5
  -6.5	6
  -5.5	14.5
  -4.5	22
  -3.5	13
  -2.5	31
  -1.5	27
  -0.5	40
   0.5	37
   1.5	32
   2.5	29
   3.5	14
   4.5	17
   5.5	13
   6.5	13
   7.5	8
   8.5	8
   9.5	4
  10.5	4.5
  11.5	7
  12.5	5
  13.5	4
  14.5	5
  15.5	3
  16.5	4
  17.5	1
  18.5	3
  19.5	2
  20.5	2
  21.5	2
  22.5	3
  23.5	1
  24.5	4.5
  25.5	2
  26.5	1
  27.5	1
  28.5	2
  29.5	2
  30.5	1
  31.5	0
  32.5	1
  33.5	1
  34.5	2
  35.5	1
  36.5	2
  37.5	1
  38.5	0
  39.5	1
  40.5	1
  41.5	0
  42.5	1
  43.5	1
  44.5	0
DB 0 MOTIF	2	MEME
 -44.5	0
 -43.5	0
 -42.5	0
 -41.5	2
 -40.5	0
 -39.5	1
 -38.5	1
 -37.5	0
 -36.5	1
 -35.5	1
 -34.5	0
 -33.5	1
 -32.5	0
 -31.5	3
 -30.5	2
 -29.5	2
 -28.5	1
 -27.5	0
 -26.5	0
 -25.5	1
 -24.5	3
 -23.5	1
 -22.5	1
 -21.5	3
 -20.5	2
 -19.5	0
 -18.5	3
 -17.5	2
 -16.5	0
 -15.5	1
 -14.5	1.5
 -13.5	4
 -12.5	2
 -11.5	4
 -10.5	2
